SummonerName,Role,Kills,Deaths,Assists,KDA,CS,CS/min,Matches
Kolaltia,JUNGLE,25.0,5.0,12.0,7.4,214.0,6.9,1
Kolaltia,MIDDLE,20.5,8.5,9.0,3.4,233.0,5.8,2
Kolaltia,SUPPORT,0.0,5.0,16.0,3.2,36.0,1.2,1
Kolaltia,TOP,10.0,9.0,4.0,1.6,217.0,6.9,1
Kuroda el Bruto,ADC,8.5,14.0,7.0,1.1,222.5,5.5,2
Kuroda el Bruto,MIDDLE,4.3,5.7,5.3,2.2,201.0,6.8,3
Kuroda el Bruto,SUPPORT,3.0,10.0,14.5,1.8,35.0,1.3,2
Kuroda el Bruto,TOP,5.0,7.0,6.0,1.6,236.0,7.1,2
Living Paradox,ADC,6.0,10.0,5.0,1.1,150.0,4.6,1
Living Paradox,JUNGLE,0.0,8.0,8.0,1.0,171.0,4.5,1
Living Paradox,SUPPORT,0.0,3.0,11.0,3.7,38.0,1.3,1
Living Paradox,TOP,1.0,9.0,5.0,0.7,152.0,4.5,1
Taylor Swiftness,ADC,4.0,2.0,9.0,6.5,131.0,4.5,1
Taylor Swiftness,MIDDLE,6.0,10.0,6.0,1.2,154.0,4.8,1
Taylor Swiftness,SUPPORT,2.5,10.0,12.5,1.5,27.5,0.8,2
lucjam,ADC,9.7,4.7,8.0,9.2,206.0,6.6,3
lucjam,JUNGLE,10.3,4.3,5.0,4.6,157.7,5.1,3
lucjam,MIDDLE,3.0,4.0,5.5,5.1,260.0,7.8,2
lucjam,SUPPORT,2.0,12.5,14.0,1.2,65.5,1.8,2
lucjam,TOP,6.5,10.0,4.5,1.2,195.5,5.6,2
mikasa 7,ADC,14.3,8.3,4.0,2.3,231.7,6.9,3
mikasa 7,JUNGLE,11.8,8.0,9.8,3.7,208.8,6.4,4
mikasa 7,MIDDLE,8.0,10.5,7.5,1.4,192.5,5.8,2
mikasa 7,SUPPORT,17.0,12.0,25.0,3.5,59.0,1.4,1
mikasa 7,TOP,11.7,7.7,4.0,2.2,190.3,6.4,3
xLegenderx,JUNGLE,7.7,8.7,10.0,3.2,104.3,3.8,3
xLegenderx,MIDDLE,5.0,8.0,5.0,1.2,307.0,9.1,1
xLegenderx,SUPPORT,2.0,7.0,14.5,2.3,33.0,1.0,2
xLegenderx,TOP,5.0,12.0,6.0,0.9,221.0,6.3,2
