MatchNumber,SummonerName,Role,Champion,Kills,Deaths,Assists,KDA,CS,CS/min,Date
match 2,lucjam,TOP,Riven,6,12,2,0.6666666666666666,105,4.214046822742475,2023-12-13 03:34:43.647
match 2,xLegenderx,JUNGLE,JarvanIV,12,15,10,1.4666666666666666,86,3.451505016722408,2023-12-13 03:34:43.647
match 2,mikasa 7,ADC,Hwei,13,8,5,2.25,132,5.297658862876254,2023-12-13 03:34:43.647
match 2,Kuroda el Bruto,SUPPORT,TwistedFate,2,11,11,1.1818181818181819,35,1.4046822742474916,2023-12-13 03:34:43.647
match 3,Kuroda el Bruto,TOP,Riven,6,7,8,2.0,269,7.424103035878565,2023-12-13 03:01:12.513
match 3,xLegenderx,SUPPORT,Blitzcrank,1,8,19,2.5,37,1.0211591536338547,2023-12-13 03:01:12.513
match 3,mikasa 7,MIDDLE,Hwei,12,13,9,1.6153846153846154,215,5.93376264949402,2023-12-13 03:01:12.513
match 3,lucjam,ADC,Ezreal,14,1,9,23.0,251,6.927322907083717,2023-12-13 03:01:12.513
match 4,mikasa 7,JUNGLE,Hecarim,8,8,6,1.75,180,6.783919597989949,2023-12-13 02:06:35.902
match 4,xLegenderx,JUNGLE,Blitzcrank,1,8,10,1.375,35,1.3190954773869346,2023-12-13 02:06:35.902
match 4,Kuroda el Bruto,MIDDLE,Zed,2,9,2,0.4444444444444444,133,5.0125628140703515,2023-12-13 02:06:35.902
match 4,lucjam,ADC,Aphelios,8,6,6,2.3333333333333335,162,6.105527638190955,2023-12-13 02:06:35.902
match 5,xLegenderx,SUPPORT,Thresh,3,6,10,2.1666666666666665,29,0.9618573797678276,2023-12-13 01:32:43.258
match 5,Kuroda el Bruto,TOP,Yasuo,4,7,4,1.1428571428571428,203,6.733001658374793,2023-12-13 01:32:43.258
match 5,mikasa 7,MIDDLE,Hwei,4,8,6,1.25,170,5.638474295190713,2023-12-13 01:32:43.258
match 5,lucjam,JUNGLE,Nidalee,8,5,4,2.4,104,3.449419568822554,2023-12-13 01:32:43.258
match 6,mikasa 7,TOP,Rengar,6,8,5,1.375,145,4.979965655409273,2023-12-12 03:35:56.024
match 6,lucjam,JUNGLE,LeeSin,13,2,4,8.5,192,6.594161419576417,2023-12-12 03:35:56.024
match 6,Kuroda el Bruto,MIDDLE,Sylas,1,4,8,2.25,168,5.769891242129365,2023-12-12 03:35:56.024
match 6,Kolaltia,SUPPORT,Thresh,0,5,16,3.2,36,1.2364052661705782,2023-12-12 03:35:56.024
match 7,lucjam,TOP,Fiora,7,8,7,1.75,286,7.027027027027026,2023-12-12 02:57:49.616
match 7,Kolaltia,MIDDLE,Zed,22,9,14,4.0,250,6.142506142506142,2023-12-12 02:57:49.616
match 7,Kuroda el Bruto,ADC,Draven,10,14,5,1.0714285714285714,200,4.914004914004914,2023-12-12 02:57:49.616
match 7,mikasa 7,SUPPORT,Senna,17,12,25,3.5,59,1.4496314496314495,2023-12-12 02:57:49.616
match 8,mikasa 7,JUNGLE,Brand,19,11,11,2.727272727272727,258,6.441947565543072,2023-12-12 02:10:45.514
match 8,Kolaltia,MIDDLE,Akali,19,8,4,2.875,216,5.393258426966293,2023-12-12 02:10:45.514
match 8,Kuroda el Bruto,ADC,Yasuo,7,14,9,1.1428571428571428,245,6.117353308364545,2023-12-12 02:10:45.514
match 8,lucjam,SUPPORT,Azir,3,15,18,1.4,59,1.4731585518102372,2023-12-12 02:10:45.514
match 9,mikasa 7,TOP,Varus,17,6,6,3.8333333333333335,233,7.52827140549273,2023-12-12 01:25:23.560
match 9,Kolaltia,JUNGLE,LeeSin,25,5,12,7.4,214,6.91437802907916,2023-12-12 01:25:23.560
match 9,lucjam,ADC,Lucian,7,7,9,2.2857142857142856,205,6.623586429725363,2023-12-12 01:25:23.560
match 9,Kuroda el Bruto,SUPPORT,Teemo,4,9,18,2.4444444444444446,35,1.1308562197092085,2023-12-12 01:25:23.560
match 10,Kolaltia,TOP,Warwick,10,9,4,1.5555555555555556,217,6.925531914893617,2023-12-12 00:30:43.541
match 10,mikasa 7,JUNGLE,Khazix,12,3,15,9.0,211,6.73404255319149,2023-12-12 00:30:43.541
match 10,Kuroda el Bruto,MIDDLE,Yasuo,10,4,6,4.0,302,9.638297872340425,2023-12-12 00:30:43.541
match 15,xLegenderx,TOP,Malphite,3,11,5,0.7272727272727273,237,6.182608695652173,2023-12-11 01:29:15.023
match 15,Living Paradox,JUNGLE,Udyr,0,8,8,1.0,171,4.460869565217391,2023-12-11 01:29:15.023
match 15,lucjam,MIDDLE,Hwei,1,7,7,1.1428571428571428,271,7.069565217391304,2023-12-11 01:29:15.023
match 15,mikasa 7,ADC,Yasuo,19,7,2,3.0,347,9.052173913043477,2023-12-11 01:29:15.023
match 15,Taylor Swiftness,SUPPORT,Thresh,2,11,14,1.4545454545454546,25,0.6521739130434783,2023-12-11 01:29:15.023
match 16,Living Paradox,TOP,Sett,1,9,5,0.6666666666666666,152,4.4859813084112155,2023-12-11 00:44:20.738
match 16,lucjam,JUNGLE,Nidalee,10,6,7,2.8333333333333335,177,5.2238071815051645,2023-12-11 00:44:20.738
match 16,xLegenderx,MIDDLE,Yasuo,5,8,5,1.25,307,9.060501721593704,2023-12-11 00:44:20.738
match 16,mikasa 7,ADC,Varus,11,10,5,1.6,216,6.374815543531726,2023-12-11 00:44:20.738
match 16,Taylor Swiftness,SUPPORT,Ashe,3,9,11,1.5555555555555556,30,0.8853910477127398,2023-12-11 00:44:20.738
match 17,xLegenderx,TOP,Gangplank,7,13,7,1.0769230769230769,205,6.33693972179289,2023-12-11 00:03:52.305
match 17,mikasa 7,JUNGLE,FiddleSticks,8,10,7,1.5,186,5.749613601236476,2023-12-11 00:03:52.305
match 17,Taylor Swiftness,MIDDLE,Corki,6,10,6,1.2,154,4.760432766615146,2023-12-11 00:03:52.305
